CustomerID,Relevance,Groundedness,Faithfulness,Personalization,Helpfulness,JudgeLatency(ms)
1,4,5,5,5,5,676.6
2,5,5,5,5,5,405.43
3,4,5,5,5,5,349.66
4,5,5,5,5,5,332.81
5,5,5,5,5,5,235.08
6,2,4,3,5,4,265.79
7,2,5,5,5,4,216.7
8,5,5,5,5,5,296.0
9,4,5,5,5,5,388.81
10,5,5,5,5,5,232.7
11,5,5,5,5,5,422.12
12,5,5,5,5,5,359.04
13,5,5,5,4,5,455.97
14,5,5,5,5,5,387.91
15,5,5,5,5,5,427.6
16,5,5,5,5,5,383.66
17,5,5,5,5,5,245.56
18,5,5,5,5,5,518.02
19,5,5,5,5,5,279.52
20,5,5,5,5,5,279.92
21,5,5,5,5,5,233.91
22,5,5,5,5,5,356.49
23,5,5,5,5,5,310.26
24,4,5,5,5,4,372.8
25,5,5,5,5,5,493.65
26,4,5,5,5,5,423.38
27,5,5,5,5,5,296.74
28,5,5,5,5,5,449.81
29,5,5,5,5,5,531.6
30,5,5,5,5,5,368.69
31,5,5,5,5,5,2660.75
32,5,5,5,5,5,2831.01
33,4,5,5,5,5,2447.55
34,5,5,5,5,5,2451.06
35,4,5,5,5,5,2743.28
36,5,5,5,4,5,2504.75
37,5,5,5,5,5,2579.24
38,5,5,5,5,5,2530.15
39,5,5,5,5,5,2605.69
40,5,5,5,5,5,2603.55
41,4,5,5,5,5,2447.96
42,5,5,5,5,5,2504.56
43,5,5,5,4,5,2304.85
44,5,5,5,5,5,2508.2
45,5,5,5,5,5,2328.6
46,5,5,5,5,5,2702.75
47,5,5,5,5,5,2377.18
48,5,5,5,5,5,2560.76
49,5,5,5,5,5,2356.6
50,5,5,5,5,5,2467.64
51,5,5,5,5,5,2481.16
52,4,5,5,5,5,2286.47
53,5,5,5,5,5,2445.94
54,5,5,5,5,5,2490.18
55,5,5,5,5,5,2503.9
56,5,5,5,5,5,2378.42
57,4,5,5,5,5,2501.13
58,5,5,5,5,5,2665.88
59,5,5,5,5,5,2374.02
60,5,5,5,5,5,2474.42
61,5,5,5,5,5,2459.12
62,5,5,5,5,5,2540.59
63,5,5,5,5,5,2418.46
64,5,5,5,4,5,2429.63
65,5,5,5,5,5,2540.56
66,5,5,5,5,5,2471.98
67,5,5,5,4,5,2488.07
68,5,5,5,5,5,2463.02
69,5,5,5,5,5,2442.94
70,5,5,5,5,5,2507.79
