customer_id,scenario,expected,retrieved,hit_at_1,hit_at_3,precision_at_3,recall_at_3,mrr,latency_ms
1,Premium Wealth Customer,PREMIUM_WEALTH,PREMIUM_WEALTH;BALANCE_RETENTION;CUSTOMER_CARE;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.04
2,Premium Senior Customer,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS,PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING;BALANCE_RETENTION;CUSTOMER_CARE,1,1,1.0,1.0,1.0,0.02
3,Premium Loyal Customer,PREMIUM_WEALTH;LOYALTY_REWARDS,PREMIUM_WEALTH;LOYALTY_REWARDS;BALANCE_RETENTION;CUSTOMER_CARE;REACTIVATION_PROGRAM,1,1,0.667,1.0,1.0,0.01
4,Premium Inactive Customer,PREMIUM_WEALTH;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;BALANCE_RETENTION;CUSTOMER_CARE,1,1,0.667,1.0,1.0,0.01
5,Premium Multi Product Customer,PREMIUM_WEALTH;LOYALTY_REWARDS;RELATIONSHIP_PRICING;SENIOR_BANKING,PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING;RELATIONSHIP_PRICING;BALANCE_RETENTION,1,1,1.0,0.75,1.0,0.01
6,Senior Banking Only,SENIOR_BANKING,SENIOR_BANKING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
7,Senior Loyal Customer,SENIOR_BANKING;LOYALTY_REWARDS,LOYALTY_REWARDS;SENIOR_BANKING;CUSTOMER_CARE;PREMIUM_WEALTH;REACTIVATION_PROGRAM,1,1,0.667,1.0,1.0,0.01
8,Senior Inactive Customer,SENIOR_BANKING;REACTIVATION_PROGRAM;LOW_PRODUCT_EXPANSION,REACTIVATION_PROGRAM;DIGITAL_BANKING;SENIOR_BANKING;LOW_PRODUCT_EXPANSION;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.03
9,Loyal Customer Only,LOYALTY_REWARDS,LOYALTY_REWARDS;CUSTOMER_CARE;PREMIUM_WEALTH;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
10,Loyal Multi Product,LOYALTY_REWARDS;RELATIONSHIP_PRICING,LOYALTY_REWARDS;RELATIONSHIP_PRICING;CUSTOMER_CARE;PREMIUM_WEALTH;REACTIVATION_PROGRAM,1,1,0.667,1.0,1.0,0.01
11,Inactive Customer Only,REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS,1,1,0.333,1.0,1.0,0.01
12,Inactive Single Product,REACTIVATION_PROGRAM;LOW_PRODUCT_EXPANSION,REACTIVATION_PROGRAM;DIGITAL_BANKING;LOW_PRODUCT_EXPANSION;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,1.0,1.0,0.01
13,Low Product Customer,LOW_PRODUCT_EXPANSION,LOW_PRODUCT_EXPANSION;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
14,Low Product Inactive,LOW_PRODUCT_EXPANSION;REACTIVATION_PROGRAM,REACTIVATION_PROGRAM;DIGITAL_BANKING;LOW_PRODUCT_EXPANSION;CUSTOMER_CARE;PREMIUM_WEALTH,1,1,0.667,1.0,1.0,0.01
15,Relationship Pricing Customer,LOYALTY_REWARDS;RELATIONSHIP_PRICING,LOYALTY_REWARDS;RELATIONSHIP_PRICING;CUSTOMER_CARE;PREMIUM_WEALTH;REACTIVATION_PROGRAM,1,1,0.667,1.0,1.0,0.01
16,Credit Building Customer,CREDIT_BUILDING,CREDIT_BUILDING;CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM,1,1,0.333,1.0,1.0,0.01
17,Credit Building Inactive,CREDIT_BUILDING;REACTIVATION_PROGRAM;LOW_PRODUCT_EXPANSION,REACTIVATION_PROGRAM;DIGITAL_BANKING;LOW_PRODUCT_EXPANSION;CREDIT_BUILDING;CUSTOMER_CARE,1,1,0.667,0.667,1.0,0.01
18,Fallback Customer Care,CUSTOMER_CARE,CUSTOMER_CARE;PREMIUM_WEALTH;LOYALTY_REWARDS;REACTIVATION_PROGRAM;SENIOR_BANKING,1,1,0.333,1.0,1.0,0.01
19,Premium Senior Inactive,PREMIUM_WEALTH;SENIOR_BANKING;LOYALTY_REWARDS;REACTIVATION_PROGRAM;RELATIONSHIP_PRICING,REACTIVATION_PROGRAM;DIGITAL_BANKING;PREMIUM_WEALTH;LOYALTY_REWARDS;SENIOR_BANKING,1,1,0.667,0.4,1.0,0.01
